Page	Functionality	Description	Implemented in dataverse-frontend	Implementation evidence	Implementation notes
Advanced Search	Search Datasets by Metadata Field	Lets a user enter search terms into any metadata field (citation and other metadata blocks) to find matching datasets.	Yes	src/sections/advanced-search/advanced-search-form; src/sections/advanced-search/AdvancedSearchHelper.ts	Implemented in the React SPA.
Advanced Search	Filter Datasets by Controlled Vocabulary Value	Lets a user check one or more controlled-vocabulary values for a metadata field to narrow dataset results.	Yes	src/sections/advanced-search/advanced-search-form; src/sections/advanced-search/AdvancedSearchHelper.ts	Implemented in the React SPA.
Advanced Search	Search Datasets by Publication Year	Lets a user restrict dataset results to a specific publication year.	Yes	src/sections/advanced-search/advanced-search-form; src/sections/advanced-search/AdvancedSearchHelper.ts	Implemented in the React SPA.
Advanced Search	Search Datasets by Persistent Identifier	Lets a user find a dataset by its DOI/Handle persistent identifier.	Yes	src/sections/advanced-search/advanced-search-form; src/sections/advanced-search/AdvancedSearchHelper.ts	Implemented in the React SPA.
Advanced Search	Search Files by Name/Description/Type	Lets a user narrow results to files matching name, description, or file type criteria.	Yes	src/sections/advanced-search/advanced-search-form; src/sections/advanced-search/AdvancedSearchHelper.ts	Implemented in the React SPA.
Advanced Search	Search Files by Persistent Identifier	Lets a user find a file by its persistent identifier.	Yes	src/sections/advanced-search/advanced-search-form; src/sections/advanced-search/AdvancedSearchHelper.ts	Implemented in the React SPA.
Advanced Search	Search Files by Variable Name/Label	Lets a user find tabular data files containing a given variable name or variable label.	Yes	src/sections/advanced-search/advanced-search-form; src/sections/advanced-search/AdvancedSearchHelper.ts	Implemented in the React SPA.
Advanced Search	Search Files by File Tag	Lets a user restrict file results to those carrying a specific file tag.	Yes	src/sections/advanced-search/advanced-search-form; src/sections/advanced-search/AdvancedSearchHelper.ts	Implemented in the React SPA.
Advanced Search	Submit Advanced Search (Find)	Runs the combined advanced search criteria and redirects to the search results page with the constructed query.	Yes	src/sections/advanced-search/advanced-search-form; src/sections/advanced-search/AdvancedSearchHelper.ts	Implemented in the React SPA.
Advanced Search	Collapse/Expand Search Panel Section	Lets a user collapse or expand the Dataverses, Datasets, or Files field groups to focus on relevant criteria.	Yes	src/sections/advanced-search/advanced-search-form; src/sections/advanced-search/AdvancedSearchHelper.ts	Implemented in the React SPA.
Search Results	Basic Keyword Search	Lets a user type a free-text query and press Enter or click the search icon to search within the current collection.	Yes	src/sections/collection/Collection.tsx; src/sections/collection/collection-items-panel/CollectionItemsPanel.tsx	Implemented in the React SPA.
Search Results	Open Advanced Search	Provides a link from the basic search bar to the Advanced Search page for the current collection.	Yes	src/sections/collection/Collection.tsx; src/sections/collection/collection-items-panel/CollectionItemsPanel.tsx	Implemented in the React SPA.
Search Results	Add Data (New Dataverse/Dataset)	Provides a button/dropdown for permitted users to create a new collection or new dataset from the current dataverse.	Yes	src/sections/collection/Collection.tsx; src/sections/collection/collection-items-panel/CollectionItemsPanel.tsx	Implemented in the React SPA.
Search Results	Toggle Result Type Facet (Dataverses/Datasets/Files)	Lets a user check/uncheck the Dataverses, Datasets, or Files type facet to include or exclude that result type.	Yes	src/sections/collection/Collection.tsx; src/sections/collection/collection-items-panel/CollectionItemsPanel.tsx	Implemented in the React SPA.
Search Results	Filter by Result Type Only	Lets a user click a type label (Dataverses, Datasets, or Files) to restrict results to only that single type.	Yes	src/sections/collection/Collection.tsx; src/sections/collection/collection-items-panel/CollectionItemsPanel.tsx	Implemented in the React SPA.
Search Results	Apply Facet Filter	Lets a user click a facet value (e.g. subject, author) in the sidebar to filter search results to items matching that value.	Yes	src/sections/collection/Collection.tsx; src/sections/collection/collection-items-panel/CollectionItemsPanel.tsx	Implemented in the React SPA.
Search Results	Remove Applied Facet Filter	"Lets a user click a selected facet chip (in the sidebar or the top ""applied filters"" row) to remove that filter from the results."	Yes	src/sections/collection/Collection.tsx; src/sections/collection/collection-items-panel/CollectionItemsPanel.tsx	Implemented in the React SPA.
Search Results	Show More/Fewer Facet Values	Lets a user expand or collapse a facet category to show more or fewer of its available values.	Yes	src/sections/collection/Collection.tsx; src/sections/collection/collection-items-panel/CollectionItemsPanel.tsx	Implemented in the React SPA.
Search Results	Sort Search Results	Lets a user choose a sort order for results: Name A-Z, Name Z-A, Newest, Oldest, or Relevance (search mode only).	Yes	src/sections/collection/Collection.tsx; src/sections/collection/collection-items-panel/CollectionItemsPanel.tsx	Implemented in the React SPA.
Search Results	Paginate Results (First/Previous/Next/Last/Page Number)	Lets a user navigate between pages of search results using first, previous, next, last, or specific page number links.	Yes	src/sections/collection/Collection.tsx; src/sections/collection/collection-items-panel/CollectionItemsPanel.tsx	Implemented in the React SPA.
Search Results	Toggle Filter Sidebar (Mobile)	Lets a user on a small screen show or hide the facet filter sidebar via a toggle button.	Yes	src/sections/collection/Collection.tsx; src/sections/collection/collection-items-panel/CollectionItemsPanel.tsx	Implemented in the React SPA.
Search Results	Open Dataverse/Dataset/File Result	Lets a user click a result card's title or image to navigate to that collection, dataset, or file's page.	Yes	src/sections/collection/Collection.tsx; src/sections/collection/collection-items-panel/CollectionItemsPanel.tsx	Implemented in the React SPA.
Search Results	Copy File Checksum/UNF Value	Lets a user click a copy icon next to a file's checksum or UNF value to copy it to the clipboard.	Partial	src/sections/collection/Collection.tsx; src/sections/collection/collection-items-panel/CollectionItemsPanel.tsx	File cards show file metadata; a copy checksum/UNF action in search results was not clearly found.
Search Results	View Technical Details of Search Error	Lets a user expand a collapsible panel to see technical details when a Solr search error occurs.	Partial	src/sections/collection/Collection.tsx; src/sections/collection/collection-items-panel/CollectionItemsPanel.tsx	Search error UI exists, but exact technical-details expander was not clearly found.
Search Results	Contact Support (No Results Guidance)	Provides guidance links/messages (e.g. to documentation or account creation) shown when a search or browse returns zero results.	Partial	src/sections/collection/Collection.tsx; src/sections/collection/collection-items-panel/CollectionItemsPanel.tsx	No-results guidance exists; explicit contact-support action was not clearly found.
Error Pages	403 Forbidden Page	Displayed when a user tries to access a resource without permission; shows an access-denied message and a link to contact support.	Partial	src/sections/error-page/ErrorPage.tsx; src/sections/not-found-page/NotFoundPage.tsx	Generic route error handling exists; dedicated 403/500 page variants were not clearly found.
Error Pages	404 Not Found Page	Displayed when a requested page/resource doesn't exist; shows a not-found message, a contact-support link, and a search box to look for content instead.	Yes	src/sections/error-page/ErrorPage.tsx; src/sections/not-found-page/NotFoundPage.tsx	Implemented in the React SPA.
Error Pages	Search From 404 Page	Lets a user type a query and press Enter or click Find on the 404 page to search the root collection for the missing content.	Yes	src/sections/error-page/ErrorPage.tsx; src/sections/not-found-page/NotFoundPage.tsx	Implemented in the React SPA.
Error Pages	404 Static Fallback Page	A minimal, self-contained (CDN-hosted assets) 404 page used when the main templated error pages themselves cannot be rendered; effectively a dev/infrastructure fallback, not relevant for SPA migration.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Static fallback 404 page not found in SPA/public files.
Error Pages	500 Internal Server Error Page	Displayed when an unexpected server error occurs; shows a generic error message to the user.	Partial	src/sections/error-page/ErrorPage.tsx; src/sections/not-found-page/NotFoundPage.tsx	Generic route error handling exists; dedicated 403/500 page variants were not clearly found.
Error Pages	Contact Support from Error Page	"Lets a user click the support team name/link on the 403 or 404 page to open the ""Contact Us"" feedback dialog."	Yes	src/sections/error-page/ErrorPage.tsx; src/sections/not-found-page/NotFoundPage.tsx	Implemented in the React SPA.
Embeddable Widgets	Dataset Citation iFrame	"A standalone embeddable page showing a dataset's citation block plus footer, used when the Dataverse ""widget"" is embedded in an external site via an iframe; auto-redirects to the full dataset page if loaded outside an iframe."	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
DataTags Test Tool	Submit Dataset Name for DataTags Interview	"A developer/test-only form where entering a dataset name and clicking ""Tag your dataset"" starts a DataTags API interview session; not a real end-user feature relevant to SPA migration."	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
DataTags Test Tool	DataTags Deposit Complete (Test Display)	A developer/test-only page that simply displays the dataset name and tags received back from the DataTags API after an interview; read-only, not relevant for SPA migration.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
